Capítulo y Sección,Requisito,Criterio de Cumplimiento,Evidencia
3.1 Ficha Técnica,Se incluye una tabla con la información de la Ficha Técnica.,La información del proyecto debe estar organizada en una tabla con los campos especificados en la sección 3.1 del documento.,Tabla con los campos y datos requeridos en el capítulo 3.1 del EsIA.
,Nombre del proyecto: Se especifica el nombre del proyecto.,"El campo ""Nombre del proyecto"" debe contener el nombre completo y oficial del proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Nombre del proyecto""."
,Nombre del proyecto: Coincide con el nombre del proyecto en los documentos habilitantes.,"El nombre del proyecto en la Ficha Técnica debe ser idéntico al que figura en los permisos, licencias o cualquier otra documentación oficial habilitante.",Entrada en la tabla de la Ficha Técnica y copia de los documentos habilitantes (en anexos).
,RUC/Cédula: Se proporciona el número de RUC o cédula del proponente.,"El campo ""RUC/Cédula"" debe contener el número de Registro Único de Contribuyentes (RUC) o el número de cédula de identidad del proponente, según corresponda.","Entrada en la tabla de la Ficha Técnica bajo el campo ""RUC/Cédula""."
,Nombre/Razón Social: Se proporciona el nombre o razón social del proponente.,"El campo ""Nombre/Razón Social"" debe contener la denominación legal completa del proponente del proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Nombre/Razón Social""."
,Representante Legal: Se proporciona el nombre completo del representante legal.,"El campo ""Representante Legal"" debe incluir el nombre y apellido completos de la persona legalmente designada como representante.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Representante Legal""."
,Dirección: Se proporciona la dirección del proponente.,"El campo ""Dirección"" debe contener la dirección física completa del proponente.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Dirección""."
,Teléfono: Se proporciona el número de teléfono del proponente.,"El campo ""Teléfono"" debe contener un número de contacto válido del proponente.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Teléfono""."
,Correo Electrónico: Se proporciona el correo electrónico del proponente.,"El campo ""Correo Electrónico"" debe contener una dirección de correo electrónico válida del proponente.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Correo Electrónico""."
,Ubicación del Proyecto - Provincia: Se especifica la provincia donde se ubica el proyecto.,"El campo ""Provincia"" debe identificar claramente la provincia política-administrativa donde se localiza el proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Provincia""."
,Ubicación del Proyecto - Cantón: Se especifica el cantón donde se ubica el proyecto.,"El campo ""Cantón"" debe identificar claramente el cantón político-administrativo donde se localiza el proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Cantón""."
,Ubicación del Proyecto - Parroquia: Se especifica la parroquia donde se ubica el proyecto.,"El campo ""Parroquia"" debe identificar claramente la parroquia política-administrativa donde se localiza el proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Parroquia""."
,"Ubicación del Proyecto - Coordenadas (Latitud/Longitud): Se proporcionan las coordenadas geográficas (latitud y longitud) en grados, minutos y segundos.","Las coordenadas geográficas deben ser presentadas en formato de grados, minutos y segundos (GMS), indicando latitud y longitud.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Coordenadas (Latitud/Longitud)""."
,Ubicación del Proyecto - Coordenadas (UTM): Se proporcionan las coordenadas UTM (Este y Norte) con sus respectivas zonas.,"Las coordenadas UTM deben ser presentadas con sus valores de Este y Norte, junto con la especificación de la zona UTM correspondiente.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Coordenadas (UTM)""."
,Actividad Productiva: Se especifica la actividad productiva según la Clasificación Industrial Internacional Uniforme (CIIU).,"El campo ""Actividad Productiva"" debe contener el código y la descripción de la actividad económica principal del proyecto, conforme a la CIIU.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Actividad Productiva""."
,Costo de Inversión: Se indica el costo de inversión del proyecto.,"El campo ""Costo de Inversión"" debe detallar el monto total estimado de inversión del proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Costo de Inversión""."
,Costo de Operación: Se indica el costo de operación del proyecto.,"El campo ""Costo de Operación"" debe detallar el monto total estimado de los costos de operación anuales del proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Costo de Operación""."
,Vida Útil (años): Se especifica la vida útil estimada del proyecto en años.,"El campo ""Vida Útil"" debe indicar el número de años estimados para la operación del proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Vida Útil (años)""."
,Fecha de Inicio (DD/MM/AAAA): Se indica la fecha de inicio del proyecto.,"El campo ""Fecha de Inicio"" debe contener la fecha (día/mes/año) en que se prevé el inicio de las actividades del proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Fecha de Inicio (DD/MM/AAAA)""."
,Número de Empleos Directos: Se especifica el número de empleos directos generados.,"El campo ""Número de Empleos Directos"" debe indicar la cantidad de puestos de trabajo generados directamente por el proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Número de Empleos Directos""."
,Número de Empleos Indirectos: Se especifica el número de empleos indirectos generados.,"El campo ""Número de Empleos Indirectos"" debe indicar la cantidad estimada de puestos de trabajo generados indirectamente por el proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Número de Empleos Indirectos""."
,Número de Personal Contratado por el Proponente: Se especifica el número de personal contratado directamente por el proponente.,"El campo ""Número de Personal Contratado por el Proponente"" debe indicar la cantidad de personal que será empleado directamente por el proponente para el proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Número de Personal Contratado por el Proponente""."
,Área Total de Intervención (ha): Se indica el área total de intervención en hectáreas.,"El campo ""Área Total de Intervención"" debe especificar la superficie total, en hectáreas (ha), que será intervenida por el proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Área Total de Intervención (ha)""."
,Costo del Estudio: Se indica el costo del estudio.,"El campo ""Costo del Estudio"" debe indicar el monto total del estudio ambiental.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Costo del Estudio""."
,Consultor Ambiental/Empresa Consultora: Se especifica el nombre del consultor ambiental o empresa consultora.,"El campo ""Consultor Ambiental/Empresa Consultora"" debe contener el nombre completo del profesional o la razón social de la empresa responsable del estudio.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Consultor Ambiental/Empresa Consultora""."
,Registro Profesional del Consultor: Se proporciona el número de registro profesional del consultor.,"El campo ""Registro Profesional del Consultor"" debe contener el número de registro o credencial que habilita al consultor para realizar este tipo de estudios.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Registro Profesional del Consultor""."
,Fecha de Elaboración del Estudio: Se indica la fecha de elaboración del estudio.,"El campo ""Fecha de Elaboración del Estudio"" debe contener la fecha (día/mes/año) en que se finalizó el estudio.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Fecha de Elaboración del Estudio""."
3.2 Marco Legal,Se incluye una recopilación de toda la normativa ambiental aplicable al proyecto.,"Se debe presentar un listado o compendio de toda la legislación, regulaciones, ordenanzas y normativas ambientales vigentes que son pertinentes al proyecto, obra o actividad.",Listado de normativa ambiental en una sección dedicada del EsIA.
,La normativa ambiental recopilada incluye todas las leyes vigentes.,El compendio debe listar específicamente las leyes nacionales e internacionales aplicables.,Inclusión de leyes en el listado normativo.
,La normativa ambiental recopilada incluye todas las reglamentaciones vigentes.,El compendio debe listar los reglamentos asociados a las leyes y otras normativas que sean de aplicación directa al proyecto.,Inclusión de reglamentos en el listado normativo.
,La normativa ambiental recopilada incluye todas las ordenanzas vigentes.,El compendio debe listar las ordenanzas municipales o seccionales que regulen aspectos ambientales del proyecto.,Inclusión de ordenanzas en el listado normativo.
,La normativa ambiental recopilada incluye todas las regulaciones aplicables a la actividad.,"El compendio debe listar cualquier otra regulación específica (resoluciones, acuerdos ministeriales, etc.) que incida en la actividad productiva del proyecto.",Inclusión de regulaciones específicas en el listado normativo.
,Se incluye la normativa que rige la actividad productiva específica del proyecto.,"Además de la normativa ambiental general, se debe identificar y listar la legislación específica que regula el sector o tipo de actividad del proyecto.",Listado de normativa específica de la actividad productiva.
,Se detallan los permisos sectoriales requeridos por el proyecto.,"Se deben enumerar y describir brevemente todos los permisos o autorizaciones que, por la naturaleza del proyecto, deben obtenerse de otras entidades sectoriales (ej. agua, energía, patrimonio).",Listado y descripción de permisos sectoriales requeridos.
3.3 Alcance,Se describe el objetivo principal del Estudio de Impacto Ambiental y/o Estudio Complementario.,"Se debe enunciar de forma clara y concisa la finalidad primordial del estudio, indicando lo que se busca lograr con su realización.",Párrafo o sección descriptiva del objetivo del estudio.
,"Se delimita geográficamente el alcance del estudio, incluyendo el área de influencia directa e indirecta.","Se debe definir la extensión espacial del estudio, especificando los límites del área donde se espera que el proyecto genere impactos directos e indirectos.","Párrafo descriptivo de la delimitación geográfica y, si aplica, mapas de área de influencia."
,"Se delimita temporalmente el alcance del estudio, incluyendo las etapas del proyecto (construcción, operación, cierre y abandono).","Se debe establecer el período de tiempo que abarca el estudio, cubriendo todas las fases del proyecto desde su inicio hasta su finalización y eventual abandono.",Párrafo descriptivo de la delimitación temporal por etapas del proyecto.
,"Se delimita socialmente el alcance del estudio, considerando las comunidades y actores sociales involucrados.","Se debe identificar y definir los grupos humanos, comunidades y partes interesadas que serán afectadas o que tienen interés en el proyecto, y cuya interacción será considerada en el estudio.",Párrafo descriptivo de la delimitación social y actores involucrados.
3.4 Ciclo de Vida del Proyecto,Se describe el ciclo de vida del proyecto desde su concepción hasta su abandono.,"Se debe presentar una descripción narrativa que abarque cronológicamente todas las fases por las que pasará el proyecto, desde su planificación hasta su desmantelamiento final.",Descripción narrativa del ciclo de vida del proyecto.
,"Se detallan todas las etapas del proyecto: Intervención y Construcción, Operación y Mantenimiento, Cierre y Abandono.","Cada una de las etapas mencionadas debe ser descrita con suficiente detalle, indicando las actividades principales y sus características.",Descripciones detalladas de cada etapa del proyecto.
,Se incluye un diagrama de flujo de las etapas del proyecto cuando sea aplicable.,"Si la naturaleza del proyecto lo permite, se debe incorporar un diagrama de flujo visual que ilustre la secuencia y relación entre las diferentes etapas del ciclo de vida.",Diagrama de flujo de las etapas del proyecto.
3.5 Descripción Detallada del Proyecto,"Se presenta información detallada y específica del proyecto, obra o actividad.","La sección debe proveer una explicación exhaustiva de las características del proyecto, incluyendo su naturaleza, propósito, y componentes principales.",Sección específica con la descripción detallada del proyecto.
,Se incluye el nombre y ubicación del proyecto.,Se debe reiterar el nombre oficial del proyecto y su localización geográfica precisa.,Mención del nombre y ubicación del proyecto en la descripción.
,Se describe la justificación del proyecto.,"Se deben exponer las razones y la necesidad que sustentan la realización del proyecto, incluyendo sus beneficios esperados.",Párrafo o sección de justificación del proyecto.
,Se describen los objetivos del proyecto.,"Se deben enunciar los propósitos específicos que el proyecto busca alcanzar, de forma clara y medible.",Listado o párrafos descriptivos de los objetivos del proyecto.
,Se especifican las metas del proyecto.,Se deben establecer los logros cuantificables y los plazos asociados a los objetivos del proyecto.,Listado o párrafos descriptivos de las metas del proyecto.
,Se describe la superficie total del terreno donde se desarrollará el proyecto.,"Se debe indicar la extensión total de la superficie terrestre que ocupará o será afectada directamente por el proyecto, en unidades apropiadas (ej. hectáreas).",Mención de la superficie total del terreno en la descripción.
,Se describe la infraestructura existente en el área del proyecto.,"Se debe detallar cualquier estructura, edificación, vía, o instalación ya presente en la zona de intervención antes del inicio del proyecto.",Descripción de la infraestructura existente.
,Se describe la infraestructura propuesta para el proyecto.,"Se deben describir todas las nuevas estructuras, edificaciones, vías, instalaciones y cualquier otro componente físico que se construirá como parte del proyecto.",Descripción de la infraestructura propuesta.
,Se incluye la descripción de las obras civiles y sus dimensiones.,"Se deben detallar las características de las obras de ingeniería civil (ej. cimentaciones, estructuras, movimientos de tierra), incluyendo sus dimensiones, materiales y métodos constructivos.",Descripción detallada de obras civiles y sus dimensiones.
,Se describe la maquinaria y equipos a utilizar en cada etapa.,"Se debe listar y describir la maquinaria, vehículos y equipos que serán empleados en las diferentes fases del proyecto, especificando su función y características principales.",Listado y descripción de maquinaria y equipos.
,Se describe la tecnología a emplear en el proyecto.,"Se deben explicar los procesos tecnológicos, métodos y sistemas que se utilizarán para llevar a cabo las actividades del proyecto.",Descripción de la tecnología a emplear.
,Se describen los materiales a utilizar en el proyecto.,Se debe enumerar y describir los principales materiales y materias primas que serán consumidos o incorporados en el proyecto.,Listado y descripción de materiales.
,Se incluyen planos de ubicación general.,"Se debe adjuntar un plano que muestre la localización del proyecto en un contexto geográfico más amplio (ej. regional, cantonal), indicando límites y referencias importantes.",Plano de ubicación general en anexos.
