Capítulo y Sección,Requisito,Criterio de Cumplimiento,Evidencia
3.1 Ficha Técnica,Se incluye una tabla con la información de la Ficha Técnica.,La información del proyecto debe estar organizada en una tabla con los campos especificados en la sección 3.1 del documento.,Tabla con los campos y datos requeridos en el capítulo 3.1 del EsIA.
,Nombre del proyecto: Se especifica el nombre del proyecto.,"El campo ""Nombre del proyecto"" debe contener el nombre completo y oficial del proyecto.","Entrada en la tabla de la Ficha Técnica bajo el campo ""Nombre del proyecto""."
3.2 Marco Legal,Se incluye una recopilación de toda la normativa ambiental aplicable al proyecto.,"Se debe presentar un listado o compendio de toda la legislación, regulaciones, ordenanzas y normativas ambientales vigentes que son pertinentes al proyecto, obra o actividad.",Listado de normativa ambiental en una sección dedicada del EsIA.
,La normativa ambiental recopilada incluye todas las leyes vigentes.,El compendio debe listar específicamente las leyes nacionales e internacionales aplicables.,Inclusión de leyes en el listado normativo.
3.3 Alcance,Se describe el objetivo principal del Estudio de Impacto Ambiental y/o Estudio Complementario.,"Se debe enunciar de forma clara y concisa la finalidad primordial del estudio, indicando lo que se busca lograr con su realización.",Párrafo o sección descriptiva del objetivo del estudio.
,"Se delimita geográficamente el alcance del estudio, incluyendo el área de influencia directa e indirecta.","Se debe definir la extensión espacial del estudio, especificando los límites del área donde se espera que el proyecto genere impactos directos e indirectos.","Párrafo descriptivo de la delimitación geográfica y, si aplica, mapas de área de influencia."
3.4 Ciclo de Vida del Proyecto,Se describe el ciclo de vida del proyecto desde su concepción hasta su abandono.,"Se debe presentar una descripción narrativa que abarque cronológicamente todas las fases por las que pasará el proyecto, desde su planificación hasta su desmantelamiento final.",Descripción narrativa del ciclo de vida del proyecto.
,"Se detallan todas las etapas del proyecto: Intervención y Construcción, Operación y Mantenimiento, Cierre y Abandono.","Cada una de las etapas mencionadas debe ser descrita con suficiente detalle, indicando las actividades principales y sus características.",Descripciones detalladas de cada etapa del proyecto.
,Se incluye un diagrama de flujo de las etapas del proyecto cuando sea aplicable.,"Si la naturaleza del proyecto lo permite, se debe incorporar un diagrama de flujo visual que ilustre la secuencia y relación entre las diferentes etapas del ciclo de vida.",Diagrama de flujo de las etapas del proyecto.
3.8.1 Medio Físico,Se caracteriza el medio físico del área de influencia.,"Se deben describir los componentes abióticos del entorno, incluyendo clima, aire, ruido, hidrología, geología, edafología y calidad de suelo.",Secciones específicas para cada componente del medio físico.
3.8.1.1 Climatología,"Se describen los parámetros climatológicos relevantes: Precipitación (valores medios, máximos, mínimos, distribución temporal).","Se deben presentar datos de precipitación, incluyendo promedios, valores extremos y cómo se distribuye a lo largo del año.",Tablas y gráficos de datos de precipitación.
,"Se describen los parámetros climatológicos relevantes: Temperatura (valores medios, máximos, mínimos, rangos).","Se deben presentar datos de temperatura, incluyendo promedios, valores extremos y variaciones.",Tablas y gráficos de datos de temperatura.
,Se presenta un análisis de la serie histórica de datos climatológicos.,Se deben analizar las tendencias y variaciones de los parámetros climáticos a lo largo del tiempo.,Análisis y discusión de la serie histórica de datos climatológicos.
3.8.1.2. Calidad del Aire / Emisiones,Se describe la calidad del aire actual en el área de influencia.,"Se deben presentar las características del aire ambiente antes del proyecto, incluyendo concentraciones de contaminantes.",Párrafo descriptivo de la calidad del aire.
,Se identifican las fuentes de emisión de contaminantes atmosféricos existentes.,"Se deben enumerar y describir cualquier actividad o proceso en el área que libere contaminantes al aire (ej. tráfico, industrias).",Listado y descripción de fuentes de emisión existentes.
3.8.1.3. Ruido Ambiental,Se describe el nivel de ruido ambiental existente en el área de influencia.,Se deben presentar los niveles de presión sonora (decibelios) presentes en el ambiente antes del proyecto.,Párrafo descriptivo del nivel de ruido ambiental.
,Se identifican las fuentes de ruido existentes.,"Se deben enumerar y describir cualquier actividad o elemento en el área que genere ruido (ej. vías, actividades comerciales, naturales).",Listado y descripción de fuentes de ruido existentes.
